1445900659.000000, 1445900659.000000, 1445900659.000000
32.000000, 32.000000, 32.000000
-15,79,4
-9,76,-2
-2,69,-5
-2,69,-2
-4,63,17
-5,56,25
-4,40,20
-7,33,11
-9,34,9
-11,42,11
-12,46,15
-9,62,21
-8,65,23
-4,71,24
-5,77,24
0,90,31
1,91,33
2,92,30
15,73,24
18,61,20
13,50,25
9,52,24
0,48,14
-1,44,13
-3,33,18
-4,32,18
-8,34,17
-11,35,19
-12,54,15
-10,69,17
-8,75,21
-5,77,27
-6,77,28
-11,83,25
-13,87,21
-8,83,12
-7,76,2
1,70,-13
2,70,-10
-2,67,8
-5,56,24
-1,47,24
-3,33,13
-5,30,9
-8,35,9
-10,40,12
-12,56,15
-10,62,16
-7,72,19
-5,76,22
1,87,30
1,98,41
1,102,40
22,81,26
23,65,20
7,52,19
3,55,18
-5,48,12
-5,40,11
-4,31,10
-3,30,9
-6,30,12
-8,33,14
-9,49,21
-9,67,22
-10,74,24
-8,82,27
-8,80,27
-9,81,26
-12,82,23
-13,84,14
-11,79,5
0,70,-9
3,70,-9
4,71,3
2,61,24
0,49,28
-2,33,18
-6,30,8
-9,31,-1
-10,37,3
-13,52,13
-11,60,16
-7,67,18
-6,72,17
8,81,21
21,97,20
22,97,20
30,87,31
34,78,31
35,57,19
28,50,19
15,47,19
11,45,16
3,37,11
2,33,10
2,34,14
4,38,19
6,46,21
8,58,28
8,65,30
6,74,28
6,74,27
8,73,30
7,77,33
6,79,32
6,74,24
7,71,4
13,72,-1
15,71,3
14,60,22
11,49,26
2,29,13
-8,28,6
-11,31,-1
-10,40,0
-4,52,19
4,63,29
12,72,37
2,74,45
-4,82,41
1,95,35
-3,90,35
8,80,25
17,71,18
9,51,12
4,51,12
-8,59,14
-5,48,17
-4,40,16
-5,32,11
-8,30,11
-13,32,18
-15,39,21
-18,56,20
-20,67,15
-15,81,15
-12,83,17
-10,79,18
-14,77,20
-22,82,11
-16,79,1
-11,73,-4
1,66,-7
2,68,-7
0,68,5
-1,60,16
-3,43,26
-3,39,21
-5,38,8
-5,40,5
-8,46,8
-9,55,15
-9,62,14
-8,74,16
-11,76,18
-7,87,27
-7,92,28
3,92,29
11,82,25
24,65,19
19,58,21
7,58,20
-4,51,18
-5,45,19
-9,37,9
-12,34,2
-16,35,4
-12,37,9
-5,49,22
-4,58,27
-5,71,31
-6,75,29
-9,79,23
-13,84,15
-13,84,10
-7,77,7
-6,74,-1
-4,70,-11
-6,73,-9
-2,72,11
1,63,20
3,42,22
0,37,16
-7,31,3
0,35,2
0,44,10
4,58,23
0,68,24
-3,78,23
0,83,24
7,96,29
14,95,29
19,90,23
25,76,16
32,55,10
26,45,11
21,45,11
14,45,13
15,42,14
11,34,17
8,33,17
9,36,16
11,40,17
22,53,25
22,61,26
21,74,22
18,78,16
16,75,18
14,85,22
14,91,20
15,83,4
11,78,-4
7,71,-9
6,67,-5
9,56,9
9,48,14
8,36,17
5,31,11
4,32,8
3,43,10
4,51,15
7,64,25
8,70,25
7,76,20
6,79,18
12,93,17
15,95,20
31,85,24
37,60,14
31,53,12
17,55,11
14,55,10
9,46,15
8,39,20
4,33,18
2,32,18
1,39,15
2,44,17
4,60,18
3,69,24
4,73,23
-1,78,17
-3,78,16
-5,86,17
-6,89,18
-2,79,8
-2,76,-2
-2,72,-10
-2,72,-6
3,62,11
5,42,24
5,37,20
-2,35,8
-5,32,4
-5,38,7
-4,44,13
-4,57,21
-3,65,23
-7,80,20
-6,86,18
4,97,26
10,96,34
13,93,31
28,69,21
29,56,19
22,49,21
18,51,19
6,45,16
4,41,17
-1,33,20
-4,31,15
-7,34,12
-6,43,19
-4,50,23
1,63,31
0,66,34
-2,75,30
-2,77,26
-5,79,23
-7,84,23
-1,90,16
4,82,10
2,71,-1
0,69,-2
1,64,4
4,49,20
6,43,22
1,36,13
-3,35,8
-4,36,9
-6,39,12
-4,53,22
-3,61,25
1,72,22
0,81,24
1,86,28
10,92,31
10,88,32
16,76,24
20,68,16
23,54,14
21,53,21
12,54,25
8,52,23
3,43,20
-1,32,12
-4,30,11
-4,34,20
-2,39,24
3,55,27
3,60,28
2,69,28
1,73,27
3,75,31
1,80,35
1,89,31
7,80,14
5,73,6
2,70,0
3,67,3
9,55,19
10,46,27
7,34,26
4,32,18
-1,31,9
0,34,9
0,47,19
3,62,27
4,68,28
1,78,31
2,85,31
9,93,34
10,91,38
16,82,37
23,73,29
29,52,21
23,49,20
11,53,25
5,48,23
2,42,19
-3,34,13
-6,31,12
-9,34,17
-8,39,21
-5,56,27
-4,60,29
-4,65,29
-6,65,27
-11,69,20
-14,80,19
-12,90,17
-2,90,5
3,86,0
1,78,0
1,76,7
1,64,22
4,53,26
3,36,24
0,31,20
-8,30,11
-9,38,12
-11,44,15
-10,62,21
-7,68,26
-8,78,28
0,85,27
5,87,26
3,88,29
9,78,30
20,67,27
21,48,30
10,54,22
4,54,21
0,45,24
-4,41,25
-8,34,22
-9,34,20
-12,39,18
-12,45,17
-11,55,18
-12,61,19
-10,70,19
-3,79,23
0,85,28
1,93,26
5,86,22
-3,76,9
-7,75,3
-9,74,1
-4,68,8
1,47,17
3,38,18
-2,27,16
-7,31,13
-7,37,14
-11,51,19
-10,58,22
-5,73,23
-3,75,24
-1,78,26
3,86,27
-1,87,35
1,83,36
16,73,26
20,56,28
15,54,32
-1,56,21
-4,52,15
-5,39,15
-5,34,16
-5,31,11
-8,31,13
-9,41,21
-6,49,24
-6,65,30
-7,79,28
-5,81,26
-6,81,25
-7,83,26
-10,85,16
-10,82,6
-2,74,-7
-1,72,-7
0,66,9
0,61,19
2,46,23
-1,35,11
-5,32,7
-7,34,7
-9,38,11
-7,53,19
-2,61,22
1,68,24
-1,73,22
1,83,26
8,93,28
13,95,31
20,79,23
25,71,17
23,55,17
17,54,20
11,52,24
10,47,26
7,33,24
2,29,18
0,29,12
-1,31,15
2,43,20
7,63,25
6,69,29
8,77,31
8,79,29
5,82,29
3,89,28
9,85,22
4,79,10
6,73,-5
5,70,-7
6,60,6
4,51,18
5,44,21
5,34,16
2,32,13
2,33,13
3,36,17
3,55,28
4,61,31
7,70,28
6,73,25
8,80,25
13,92,29
17,91,32
24,80,28
30,71,22
24,52,19
18,51,21
7,53,17
7,48,15
6,35,14
-1,38,10
-7,36,12
-10,34,19
-8,46,18
-2,61,23
-3,67,26
-4,73,27
-3,75,26
-8,79,26
-10,83,23
-6,88,12
-2,83,7
-4,75,-10
-2,74,-14
-2,72,-1
-1,58,22
1,49,27
1,36,18
-4,32,10
-7,32,4
-7,35,8
-9,49,17
-9,60,20
-6,74,25
-8,79,25
-5,83,28
2,90,34
0,90,40
2,80,36
9,71,26
19,52,23
14,46,25
2,49,27
-1,48,21
0,37,11
-3,30,8
-7,25,11
-7,33,18
-7,42,22
-8,63,23
-8,68,27
-8,79,31
-6,81,30
-7,83,27
